도시 명,계,남,여,지역,남자,여자,성비,세대수,세대당인구
합   계,51836763,"25,867,727","25,969,036",100,49.9,50.1,99.61,"22,212,339",2.33
서울특별시      ,9766886,"4,769,474","4,997,412",18.84,9.2,9.64,95.44,"4,296,066",2.27
부산광역시      ,3431750,"1,686,235","1,745,515",6.62,3.25,3.37,96.6,"1,487,469",2.31
대구광역시      ,2454154,"1,214,640","1,239,514",4.73,2.34,2.39,97.99,"1,025,515",2.39
인천광역시      ,2956700,"1,482,820","1,473,880",5.7,2.86,2.84,100.61,"1,222,515",2.42
광주광역시      ,1458940,"722,495","736,445",2.81,1.39,1.42,98.11,"608,121",2.4
대전광역시      ,1485509,"742,095","743,414",2.87,1.43,1.43,99.82,"629,623",2.36
울산광역시      ,1152293,"592,037","560,256",2.22,1.14,1.08,105.67,"464,318",2.48
세종특별자치시  ,324417,"161,944","162,473",0.63,0.31,0.31,99.67,"128,330",2.53
경기도          ,13129508,"6,605,143","6,524,365",25.33,12.74,12.59,101.24,"5,363,723",2.45
강원도          ,1540794,"775,002","765,792",2.97,1.5,1.48,101.2,"711,520",2.17
충청북도        ,1599488,"809,567","789,921",3.09,1.56,1.52,102.49,"712,948",2.24
충청남도        ,2125912,"1,082,520","1,043,392",4.1,2.09,2.01,103.75,"950,286",2.24
전라북도        ,1829273,"909,550","919,723",3.53,1.75,1.77,98.89,"809,767",2.26
전라남도        ,1873183,"938,558","934,625",3.61,1.81,1.8,100.42,"863,206",2.17
경상북도        ,2670375,"1,343,986","1,326,389",5.15,2.59,2.56,101.33,"1,214,251",2.2
경상남도        ,3368933,"1,695,232","1,673,701",6.5,3.27,3.23,101.29,"1,435,197",2.35
제주특별자치도  ,668648,"336,429","332,219",1.29,0.65,0.64,101.27,"289,484",2.31
